Attribute,Top Team,Mean Value
Possession_Touches_Def Pen,Fulham,132.71
Possession_Touches_Def 3rd,Fulham,408.1
Possession_Touches_Mid 3rd,Manchester City,681.86
Possession_Touches_Att 3rd,Manchester City,486.95
Possession_Touches_Att Pen,Arsenal,70.29
Possession_Touches_Live,Manchester City,1491.62
Possession_Take-Ons_Att,Manchester City,34.71
Possession_Take-Ons_Succ,Manchester City,17.86
Possession_Take-Ons_Succ%,Wolves,57.85
Possession_Take-Ons_Tkld,Bournemouth,15.62
Possession_Take-Ons_Tkld%,Liverpool,46.53
Possession_Carries_Carries,Manchester City,959.81
Possession_Carries_TotDist,Manchester City,5005.14
Possession_Carries_ProDist,Manchester City,2759.71
Possession_Carries_ProgC,Manchester City,53.48
"Possession_Carries_""1/3",Manchester City,41.29
Possession_Carries_CPA,Manchester City,19.71
Possession_Carries_Mis,Liverpool,25.73
Possession_Carries_Dis,Liverpool,18.23
Possession_Receiving_ReC,Manchester City,1156.14
Possession_Receiving_PrgR,Arsenal,98.86
Playing Time_Starts_Starts,Fulham,19.9
Playing Time_Starts_Mn/Start,Crystal Palace,84.33
Playing Time_Starts_Compl,Manchester City,14.33
Playing Time_Starts_Subs,Fulham,7.33
Playing Time_Starts_Mn/Sub,Sheffield Utd,26.33
Playing Time_Starts_unSub,Manchester City,8.0
Playing Time_Team Success_PPM,Manchester City,2.42
Playing Time_Team Success_onG,Manchester City,50.14
Playing Time_Team Success_onGA,Sheffield Utd,37.77
Playing Time_Team Success(xG)_onxG,Liverpool,43.62
Playing Time_Team Success(xG)_onxGA,West Ham,35.3
Miscellaneous Stats_Performance_Fls,Liverpool,20.68
Miscellaneous Stats_Performance_Fld,Tottenham,21.04
Miscellaneous Stats_Performance_Off,Liverpool,4.55
Miscellaneous Stats_Performance_Crs,Liverpool,37.14
Miscellaneous Stats_Performance_OG,Sheffield Utd,0.23
Miscellaneous Stats_Performance_Recov,Liverpool,92.0
Miscellaneous Stats_Aerial Duels_Won,Everton,29.39
Miscellaneous Stats_Aerial Duels_Lost,Bournemouth,25.65
Miscellaneous Stats_Aerial Duels_Won%,Nott'ham Forest,55.8
